id_del_proceso,entidad,departamento_entidad,ciudad_entidad,ordenentidad,modalidad_de_contratacion,tipo_de_contrato,codigo_principal_de_categoria,fecha_de_publicacion,fecha_adjudicacion,duracion,unidad_de_duracion,precio_base,valor_total_adjudicacion,adjudicado,estado_del_procedimiento,proveedores_invitados,conteo_de_respuestas_a_ofertas,departamento_proveedor,ciudad_proveedor,nombre_del_proveedor
CO1.REQ.2577563,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADISTICA (DANE),Distrito Capital de Bogotá,Bogotá,Nacional,Contratación directa,Prestación de servicios,V1.80111500,,,344,día(s),57333333,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.2085169,DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA,Atlántico,Barranquilla,Territorial,Contratación directa,Prestación de servicios,V1.80111600,,,0,día(s),2917200000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.7128715,COLEGIO GABRIEL BETANCOURT MEJIA I.E.D,Distrito Capital de Bogotá,No Definido,Territorial,Contratación régimen especial (con ofertas),Otro,V1.40151500,,,5,día(s),5500000,0,No,Evaluación,0,0,No Definido,No Definido,No Definido
CO1.REQ.9845111,INVIAS,Distrito Capital de Bogotá,Bogotá,Nacional,Contratación directa,Prestación de servicios,V1.80111701,,,210,día(s),48620250,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.8273274,MUNICIPIO DE SAN MIGUEL PUTUMAYO,Putumayo,San Miguel,Territorial,Contratación directa,Prestación de servicios,V1.80111701,,,104,día(s),10000000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.4098730,MUNICIPIO DE PIEDECUESTA,Santander,Piedecuesta,Territorial,Contratación directa,Prestación de servicios,V1.80111701,,,3,Mes(es),12000000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.6622657,LA CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - AGROSAVIA,Cundinamarca,Mosquera,Nacional,Contratación régimen especial,Suministros,V1.46181500,,,6,Mes(es),0,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.9182530,EMPRESA SOCIAL DEL ESTADO BELLOSALUD,Antioquia,Bello,Territorial,Contratación régimen especial,Suministros,V1.72102900,,,30,día(s),4260200,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.5610848,(Secretaría Distrital de Integración Social),Distrito Capital de Bogotá,No Definido,Territorial,Contratación directa,Prestación de servicios,V1.80111500,,,9,Mes(es),53579880,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.1780926,ESAP TERRITORIAL BOYACA CASANARE,Boyacá,Tunja,Nacional,Contratación directa,Prestación de servicios,V1.80111600,,,4,Mes(es),9108000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.848621,ALCALDIA LOCAL DE SUMAPAZ,Distrito Capital de Bogotá,Bogotá,Territorial,Licitación pública Obra Publica,Obra,V1.81101500,,,5,Mes(es),600000000,0,No,Evaluación,0,0,No Definido,No Definido,No Definido
CO1.REQ.1892979,FONDO NACIONAL DE VIVIENDA,No Definido,No Definido,Nacional,Contratación directa,Otro,V1.93151611,,,10,Mes(es),448000000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.976985,INVIAS,Distrito Capital de Bogotá,Bogotá,Nacional,Licitación pública Obra Publica,Obra,V1.72141000,,2022-07-08T00:00:00.000,33,Mes(es),53520784298,1217527123,Si,Seleccionado,0,0,Cauca,Bolívar,COOPERATIVA DE TRABAJO ASOCIADO SIGLO XXI
CO1.REQ.9500237,ALCALDIA DE FLORIDABLANCA,Santander,Floridablanca,Territorial,Selección Abreviada de Menor Cuantía,Obra,UNSPECIFIED,,2026-01-27T00:00:00.000,2,Mes(es),305813941,305644297,Si,Seleccionado,10,0,Santander,Bucaramanga,CONSTRUOBRAS ISAVAL S.A.S
CO1.REQ.4389286,INSTITUTO DE DEPORTES Y RECREACION DE MEDELLIN,Antioquia,Medellín,Territorial,Selección abreviada subasta inversa,Suministros,V1.42192600,,,0,día(s),270101513,0,No,Evaluación,0,0,No Definido,No Definido,No Definido
CO1.REQ.6085225,GOBERNACION DEL CHOCÓ.,No Definido,No Definido,Territorial,Contratación directa,Prestación de servicios,V1.80111600,,,8,Mes(es),24000000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.4114873,ALCALDIA DE GIRARDOTA,Antioquia,Girardota,Territorial,Enajenación de bienes con subasta,Venta muebles,V1.22101509,,,90,día(s),86000000,0,No,Evaluación,0,0,No Definido,No Definido,No Definido
CO1.REQ.7180132,COMPRADOR ESE CARMEN EMILIA OSPINA PERFIL,Huila,Neiva,Territorial,Contratación régimen especial,Suministros,V1.85101500,,,45,día(s),320000000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.7095796,CXAYUCE JXUT ESE,Cauca,Toribio,Nacional,Contratación régimen especial,Decreto 092 de 2017,V1.85121601,,,71,día(s),21280000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.10651936,INSTITUCION EDUCATIVA LAS COLINAS,No Definido,No Definido,Territorial,Contratación régimen especial,Prestación de servicios,V1.84111500,,,142,día(s),5400000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.600806,ALCALDIA  MUNICIPIO DE IBAGUE*,Tolima,Ibagué,Territorial,Contratación directa,Prestación de servicios,V1.80111701,,,2,Mes(es),2200000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.8830432,ALCALDÍA MUNICIPAL DE CANDELARIA VALLE,Valle del Cauca,Candelaria,Territorial,Contratación directa,Prestación de servicios,V1.80111600,,,0,día(s),10500000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.8859418,UNIDAD DE SERVICIOS PENITENCIARIOS Y CARCELARIOS - USPEC1,Distrito Capital de Bogotá,Bogotá,Nacional,Contratación directa,Prestación de servicios,V1.80161500,,,3,Mes(es),38666667,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.2996306,ENTIDAD DE GESTION ADMINISTRATIVA Y TECNICA,Distrito Capital de Bogotá,No Definido,Territorial,Selección abreviada subasta inversa,Compraventa,V1.78131600,,,4,Mes(es),3403373221,29695974,Si,Seleccionado,0,4,Distrito Capital de Bogotá,No Definido,IMCARE SAS
CO1.REQ.4168905,Concejo Municipal de Bello,Antioquia,Bello,Territorial,Contratación directa,Prestación de servicios,V1.80111501,,,8,Mes(es),13600000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.6602379,DANE - DIRECCION TERRITORIAL NORTE,Atlántico,No Definido,Nacional,Contratación directa,Prestación de servicios,V1.80111500,,,150,día(s),11500000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.4015420,COLEGIO CIUDAD DE MONTREAL IED,No Definido,No Definido,Territorial,Contratación régimen especial,Decreto 092 de 2017,V1.43232110,,,5,día(s),820000,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.5742860,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL.*,Antioquia,Yolombó,Territorial,Contratación régimen especial,Arrendamiento de muebles,V1.78111808,,,30,día(s),1537480,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.9890110,MUNICIPIO SANTA ROSA DE OSOS,Antioquia,Santa Rosa De Osos,Territorial,Contratación directa,Prestación de servicios,V1.93151500,,,320,día(s),29680000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.4763183,ASAMBLEA DEPARTAMENTAL DE CASANARE1,Casanare,Yopal,Territorial,Contratación directa,Prestación de servicios,V1.80111600,,,4,Mes(es),6000000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.9263598,ALCALDIA DE PASTO,Nariño,Pasto,Territorial,Mínima cuantía,Suministros,V1.49201600,,2025-12-02T00:00:00.000,30,día(s),92400000,82076690,Si,Seleccionado,0,0,Nariño,Pasto,IMEDSUR SAS
