entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,codigo_pci,id_del_proceso,referencia_del_proceso,ppi,id_del_portafolio,nombre_del_procedimiento,descripci_n_del_procedimiento,fase,fecha_de_publicacion_del,fecha_de_ultima_publicaci,fecha_de_publicacion_fase_3,precio_base,modalidad_de_contratacion,justificaci_n_modalidad_de,duracion,unidad_de_duracion,ciudad_de_la_unidad_de,nombre_de_la_unidad_de,proveedores_invitados,proveedores_con_invitacion,visualizaciones_del,proveedores_que_manifestaron,respuestas_al_procedimiento,respuestas_externas,conteo_de_respuestas_a_ofertas,proveedores_unicos_con,numero_de_lotes,estado_del_procedimiento,id_estado_del_procedimiento,adjudicado,id_adjudicacion,codigoproveedor,departamento_proveedor,ciudad_proveedor,valor_total_adjudicacion,nombre_del_adjudicador,nombre_del_proveedor,nit_del_proveedor_adjudicado,codigo_principal_de_categoria,estado_de_apertura_del_proceso,tipo_de_contrato,subtipo_de_contrato,categorias_adicionales,urlproceso,codigo_entidad,estado_resumen,fecha_de_recepcion_de,fecha_de_apertura_de_respuesta,fecha_de_publicacion_fase_2,fecha_de_apertura_efectiva,fecha_adjudicacion,fecha_de_publicacion
DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADISTICA (DANE),899999027,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.2577563,EDP-545-2022,700474109,CO1.BDOS.2503732,TS_MERCADO_2022_GEIH_TH Prestación de servicios profesionales para procesar la información de la GEIH para el análisis de resultados y generación de nuevos indicadores de migración laboral y series de,TS_MERCADO_2022_GEIH_TH Prestación de servicios profesionales para procesar la información de la GEIH para el análisis de resultados y generación de nuevos indicadores de migración laboral y series de mercado laboral desestacionalizadas.,Presentación de oferta,2022-01-18T00:00:00.000,2022-01-18T00:00:00.000,2022-01-18T00:00:00.000,57333333,Contratación directa,Servicios profesionales y apoyo a la gestión,344,día(s),Bogotá,SECRETARIA GENERAL - DANE CENTRAL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111500,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2597221'},700474109,Presentación de oferta,,,,,,
DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA,890102018,Atlántico,Barranquilla,Territorial,Centralizada,CO1.REQ.2085169,CD-55-2021-3516,702442096,CO1.BDOS.2027130,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN A LA SECRETARÍA DISTRITAL DE DESARROLLO ECONÓMICO PARA EL DESARROLLO DE ESTRATEGIAS DE PROMOCION; ATRACCIÓN DE  INVERSIONES PRIVADAS (NACIONAL Y EXTRANJER,"PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN A LA SECRETARÍA DISTRITAL DE DESARROLLO ECONÓMICO PARA EL DESARROLLO DE ESTRATEGIAS DE PROMOCION, ATRACCIÓN DE  INVERSIONES PRIVADAS (NACIONAL Y EXTRANJERA) Y POSICIONAMIENTO DEL DISTRITO DE BARRANQUILLA COMO DESTINO IDÓNEO DE TRANSFORMACIÓN INTEGRAL.",Presentación de oferta,2021-06-11T00:00:00.000,2021-06-11T00:00:00.000,2021-06-11T00:00:00.000,2917200000,Contratación directa,Servicios profesionales y apoyo a la gestión,0,día(s),No Aplica,Contratación Directa,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2028877'},702442096,Presentación de oferta,,,,,,
COLEGIO GABRIEL BETANCOURT MEJIA I.E.D,900143276,Distrito Capital de Bogotá,No Definido,Territorial,Centralizada,CO1.REQ.7128715,RE-CGBM-049-2024,703916536,CO1.BDOS.6995772,SUMINISTRO ELECTROBOMBAS,"COMPRA ELECTROBOMBAS DE SUPERFICIE CENTRIFUGA MODELO PEARL C2P 55H36S , CON POTENCIA  DE 5,5 HP, 220/440V Y TRIFASICAS SEDE A COLEGIO GABRIEL BETANCOURT MEJIA IED",Presentación de oferta,2024-11-06T00:00:00.000,2024-11-06T00:00:00.000,2024-11-06T00:00:00.000,5500000,Contratación régimen especial (con ofertas),Regla aplicable,5,día(s),Bogotá,PAGADURIA,0,0,9,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.40151500,Cerrado,Otro,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7008964'},703916536,Presentación de oferta,2024-11-12T00:00:00.000,2024-11-13T00:00:00.000,,,,
INVIAS,800215807,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.9845111,CD-CPS-0720-2026,700676059,CO1.BDOS.9677536,CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES,"PRESTAR SERVICIOS PROFESIONALES PARA ACOMPAÑAR LA GESTIÓN CONTABLE Y FINANCIERA DE LOS PROGRAMAS, CONTRATOS Y/O CONVENIOS DEL INVIAS EN LA SUBDIRECCIÓN DE VÍAS REGIONALES EN EL MARCO DEL PROGRAMA CAMINOS COMUNITARIOS DE LA PAZ TOTAL",Presentación de oferta,2026-01-22T00:00:00.000,2026-01-22T00:00:00.000,2026-01-22T00:00:00.000,48620250,Contratación directa,Servicios profesionales y apoyo a la gestión,210,día(s),Bogotá,Subdirección de Vías Regionales,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9690232'},700676059,Presentación de oferta,,,,,,
MUNICIPIO DE SAN MIGUEL PUTUMAYO,800252922,Putumayo,San Miguel,Territorial,Descentralizada,CO1.REQ.8273274,PS-147-2025,712452853,CO1.BDOS.8128286,PRESTACION DE SERVICIOS PROFESIONALES PARA LA EJECUCION; GESTION Y SEGUIMIENTO DE PROGRAMAS Y PROYECTOS ENFOCADOS EN LA ATENCION DE LA POBLACION CON DISCAPACIDAD DEL MUNCIPIO DE SAN MIGUEL PUTUMAYO,"PRESTACION DE SERVICIOS PROFESIONALES PARA LA EJECUCION, GESTION Y SEGUIMIENTO DE PROGRAMAS Y PROYECTOS ENFOCADOS EN LA ATENCION DE LA POBLACION CON DISCAPACIDAD DEL MUNCIPIO DE SAN MIGUEL PUTUMAYO",Presentación de oferta,2025-05-16T00:00:00.000,2025-05-16T00:00:00.000,2025-05-16T00:00:00.000,10000000,Contratación directa,Servicios profesionales y apoyo a la gestión,104,día(s),No Aplica,ALCALDÍA SAN MIGUEL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8148159'},712452853,Presentación de oferta,,,,,,
MUNICIPIO DE PIEDECUESTA,890205383,Santander,Piedecuesta,Territorial,Centralizada,CO1.REQ.4098730,SINF-CPS-050-23,702166190,CO1.BDOS.4003113,BISMARCK ANDRES RODRIGUEZ FORERO,"PRESTAR SERVICIOS PROFESIONALES COMO INGENIERO CIVIL ESPECIALIZADO PARA APOYAR LA FORMULACIÓN, DISEÑO Y SEGUIMIENTO A LOS PROYECTOS DE LA SECRETARIA DE INFRAESTRUCTURA, EN EL MARCO DEL PROYECTO DENOMINADO FORTALECIMIENTO DE LOS PROCESOS ADMINISTRATIVOS Y ACTIVIDADES DE GESTIÓN DE LA SECRETARIA DE INFRAESTRUCTURA DEL MUNICIPIO DE PIEDECUESTA.",Presentación de oferta,2023-02-14T00:00:00.000,2023-02-14T00:00:00.000,2023-02-14T00:00:00.000,12000000,Contratación directa,Servicios profesionales y apoyo a la gestión,3,Mes(es),Piedecuesta,Unidad de Contratación Secretaria de Infraestructura,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4004222'},702166190,Presentación de oferta,,,,,,
LA CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - AGROSAVIA,800194600,Cundinamarca,Mosquera,Nacional,Centralizada,CO1.REQ.6622657,135116,718046428,CO1.BDOS.6496979,CATALOGO DE EPPS CI  OBONUCO - EXPERIENCIAS JM,No definido,Presentación de oferta,2024-08-06T00:00:00.000,2024-08-06T00:00:00.000,2024-08-06T00:00:00.000,0,Contratación régimen especial,Regla aplicable,6,Mes(es),Pasto,ADQUISICIONES OBONUCO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.46181500,Abierto,Suministros,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6507167'},718046428,Presentación de oferta,,,,,,
EMPRESA SOCIAL DEL ESTADO BELLOSALUD,800174995,Antioquia,Bello,Territorial,Centralizada,CO1.REQ.9182530,OC10-2494-2025 DAVILA PROYECCION,705410264,CO1.BDOS.9018383,MANTENIMIENTO HOSPITALARIO,MANTENIMIENTO HOSPITALARIO,Presentación de oferta,2025-10-31T00:00:00.000,2025-10-31T00:00:00.000,2025-10-31T00:00:00.000,4260200,Contratación régimen especial,Regla aplicable,30,día(s),Bello,UC ESE BELLOSALUD,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.72102900,Abierto,Suministros,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9042868'},705410264,Presentación de oferta,,,,,,
(Secretaría Distrital de Integración Social),8999990619,Distrito Capital de Bogotá,No Definido,Territorial,Centralizada,CO1.REQ.5610848,SDIS-CPS-302405-2024,702271321,CO1.BDOS.5493980,CONTRATO DE PRESTACIÓN DE SERVICIOS PROFESIONALES,"PRESTAR SERVICIOS PROFESIONALES A LA SUBDIRECCION DE CONTRATACION, EN 
LOS DIFERENTES TRAMITES CONTRACTUALES QUE LE SEAN ASIGNADOS.",Presentación de oferta,2024-01-25T00:00:00.000,2024-01-25T00:00:00.000,2024-01-24T00:00:00.000,53579880,Contratación directa,Servicios profesionales y apoyo a la gestión,9,Mes(es),Bogotá,SUBDIRECCION DE CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111500,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5507297'},702271321,Presentación de oferta,,,,,,
ESAP TERRITORIAL BOYACA CASANARE,800117524,Boyacá,Tunja,Nacional,Descentralizada,CO1.REQ.1780926,009-2021,704405216,CO1.BDOS.1730570,HELDA YANNETH BERNAL RINCON,CONTRATO PRESTACIÓN SERVICIOS PROFESIONALES COORDINADOR CETAP SOGAMOSO,Fase de ofertas,2021-02-02T00:00:00.000,2021-02-02T00:00:00.000,2021-02-02T00:00:00.000,9108000,Contratación directa,Servicios profesionales y apoyo a la gestión,4,Mes(es),Tunja,TERRITORIAL ESAP BOYACA CASANARE,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1727245'},704405216,Fase de ofertas,,,,,,
